,年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年平均
113,1987,5.8,6.8,9.3,14.4,19.3,22.1,27.0,27.3,23.3,18.9,12.8,8.1,16.3
114,1988,7.7,4.9,8.4,14.3,18.2,22.3,22.4,27.0,22.8,17.5,11.4,8.4,15.4
115,1989,8.1,7.5,9.6,15.6,17.7,20.7,24.1,27.1,25.2,17.5,14.2,9.2,16.4
116,1990,5.0,7.8,10.6,14.7,19.2,23.5,25.7,28.6,24.8,19.2,15.1,10.0,17.0
117,1991,6.3,6.5,9.5,15.4,18.8,23.6,26.7,25.5,23.9,18.1,13.0,9.2,16.4
118,1992,6.8,6.9,9.7,15.1,17.3,20.6,25.5,27.0,23.3,17.3,13.0,9.4,16.0
119,1993,6.2,7.7,8.7,13.4,18.1,21.7,22.5,24.8,22.9,17.5,14.1,8.5,15.5
120,1994,5.5,6.6,8.1,15.8,19.5,22.4,28.3,28.9,24.8,20.2,13.4,9.0,16.9
121,1995,6.3,6.5,8.9,15.0,19.1,20.4,26.4,29.4,23.7,19.5,12.7,7.7,16.3
122,1996,6.6,5.4,9.2,12.7,18.1,22.6,26.2,26.0,22.4,18.0,13.2,9.3,15.8
123,1997,6.8,7.0,10.5,15.2,19.2,22.7,26.6,27.0,22.9,18.7,14.3,9.2,16.7
124,1998,5.3,7.0,10.1,16.3,20.5,21.5,25.3,27.2,24.4,20.1,13.9,9.0,16.7
125,1999,6.6,6.7,10.1,15.0,19.9,22.8,25.9,28.5,26.2,19.5,14.2,9.0,17.0
126,2000,7.6,6.0,9.4,14.5,19.8,22.5,27.7,28.3,25.6,18.8,13.3,8.8,16.9
127,2001,4.9,6.6,9.8,15.7,19.5,23.1,28.5,26.4,23.2,18.7,13.1,8.4,16.5
128,2002,7.4,7.9,12.2,16.1,18.4,21.6,28.0,28.0,23.1,19.0,11.6,7.2,16.7
129,2003,5.5,6.4,8.7,15.1,18.8,23.2,22.8,26.0,24.2,17.8,14.4,9.2,16.0
130,2004,6.3,8.5,9.8,16.4,19.6,23.7,28.5,27.2,25.1,17.5,15.6,9.9,17.3
131,2005,6.1,6.2,9.0,15.1,17.7,23.2,25.6,28.1,24.7,19.2,13.3,6.4,16.2
132,2006,5.1,6.7,9.8,13.6,19.0,22.5,25.6,27.5,23.5,19.5,14.4,9.5,16.4
133,2007,7.6,8.6,10.8,13.7,19.8,23.2,24.4,29.0,25.2,19.0,13.3,9.0,17.0
134,2008,5.9,5.5,10.7,14.7,18.5,21.3,27.0,26.8,24.4,19.4,13.1,9.8,16.4
135,2009,6.8,7.8,10.0,15.7,20.1,22.5,26.3,26.6,23.0,19.0,13.5,9.0,16.7
136,2010,7.0,6.5,9.1,12.4,19.0,23.6,28.0,29.6,25.1,18.9,13.5,9.9,16.9
137,2011,5.1,7.0,8.1,14.5,18.5,22.8,27.3,27.5,25.1,19.5,14.9,7.5,16.5
138,2012,4.8,5.4,8.8,14.5,19.6,21.4,26.4,29.1,26.2,19.4,12.7,7.3,16.3
139,2013,5.5,6.2,12.1,15.2,19.8,22.9,27.3,29.2,25.2,19.8,13.5,8.3,17.1
140,2014,6.3,5.9,10.4,15.0,20.3,23.4,26.8,27.7,23.2,19.1,14.2,6.7,16.6
141,2015,5.8,5.7,10.3,14.5,21.1,22.1,26.2,26.7,22.6,18.4,13.9,9.3,16.4
142,2016,6.1,7.2,10.1,15.4,20.2,22.4,25.4,27.1,24.4,18.7,11.4,8.9,16.4
143,2017,5.8,6.9,8.5,14.7,20.0,22.0,27.6 ),,,,,,15.1 ]
